Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-720.2961	48.740295	-636.837	-813.9909	32.27778	0.034047183	0.76497597	1.155676	-1.849581	600	7.152558e-08	509780.6	-0.035263382	-6407.7812	0.008151566	0.0	1.0519983768463135
1	-728.28326	72.77573	-612.89056	-843.47516	30.263159	-4.5268383	0.682326	-2.905087	-5.648152	1200	-1.00930535e-07	522251.25	-0.035961032	-5243.6875	0.009363029	0.0	1.5093867778778076
2	-737.55383	66.407036	-632.5609	-851.936	32.333332	-8.283208	0.7234135	-4.821091	-8.648632	1800	-1.2715658e-08	526025.5	-0.023258392	-4392.875	0.0060748006	1.0	1.9613375663757324
3	-728.0038	79.91704	-489.30838	-823.413	31.88889	-11.37174	0.7026933	-7.5553956	-11.56637	2400	-1.0848046e-07	505286.94	-0.040578663	-3925.5625	0.008100191	0.0	2.405902862548828
4	-732.3652	58.142815	-639.11	-825.0132	33.882355	-14.2213545	0.24852102	-12.814991	-14.272625	3000	5.3246815e-08	497735.56	-0.04169318	-3789.375	0.008702682	0.0	2.8397216796875
5	-722.41223	101.17831	-368.42682	-841.2575	31.263159	-16.975264	0.06589344	-16.738186	-16.994446	3600	2.193451e-07	514125.9	-0.04338617	-3905.5312	0.0066176057	1.0	3.27017879486084
6	-706.60187	66.1965	-562.8433	-803.16656	32.5	-19.74335	0.07465772	-19.331215	-19.75728	4200	9.059906e-08	469950.25	-0.031861223	-3552.1562	0.007810271	0.0	3.702449321746826
7	-715.3009	62.558098	-614.6854	-816.4422	29.8	-22.381561	0.10954704	-21.806349	-22.402456	4800	-5.078316e-07	494683.0	-0.035477284	-3767.4688	0.007754371	0.0	4.16523551940918
8	-720.0115	53.144356	-636.1405	-824.1873	32.555557	-25.085655	0.13446617	-24.342093	-25.110025	5400	5.8809917e-08	477753.88	-0.037773766	-3597.7188	0.008973607	0.0	4.615426778793335
9	-718.3388	55.749935	-640.1928	-837.09296	33.0	-27.731432	0.16385101	-26.825365	-27.76108	6000	-9.536743e-09	477642.34	-0.03348181	-3628.0625	0.009158041	0.0	5.0654284954071045
10	-704.0369	73.48441	-603.87866	-856.7323	32.27778	-30.382517	0.19313636	-29.31451	-30.417458	6600	1.8278758e-08	449189.66	-0.04881483	-3344.4375	0.0070821736	0.0	5.735067129135132
11	-701.0452	72.96991	-472.83847	-821.30316	29.95	-32.933605	0.23212521	-31.71476	-32.97786	7200	-2.447764e-07	461142.94	-0.03562638	-3519.7812	0.007880337	0.0	6.196393966674805
12	-680.13116	72.27081	-510.55228	-774.3495	29.85	-35.546688	0.2621314	-34.171795	-35.597088	7800	9.3579295e-08	425165.44	-0.033544105	-3277.9062	0.008208553	0.0	6.649474143981934
13	-645.8025	136.46843	-272.064	-820.50714	32.72222	-38.092884	0.22652546	-36.840244	-38.133858	8400	9.0201695e-08	389175.0	-0.030722896	-2951.9062	0.009334355	0.0	7.111298322677612
14	-646.454	116.647934	-283.56848	-788.79614	32.833332	-40.539433	0.00044118668	-40.537003	-40.53952	9000	-7.053216e-08	379114.62	-0.031093163	-2882.2812	0.0076070824	0.0	7.564941883087158
15	-691.9443	50.587173	-608.41705	-798.9189	32.61111	-42.94042	0.00040605513	-42.938206	-42.940502	9600	-1.3113022e-07	417875.66	-0.029718084	-3237.125	0.007957228	0.0	8.013357162475586
16	-635.4704	150.93939	-137.37012	-799.3713	33.333332	-45.484367	0.00035590713	-45.48234	-45.48443	10200	5.0266582e-08	381429.47	-0.04270922	-2955.7188	0.00824075	0.0	8.453176736831665
17	-597.2711	123.73991	-353.13693	-718.53314	32.555557	-47.937683	0.00033670076	-47.935825	-47.937748	10800	5.086263e-08	317995.56	-0.023603436	-2453.5312	0.006885201	0.0	8.890825986862183
18	-561.18835	163.2692	-268.42783	-819.76074	32.444443	-50.19229	0.00031194804	-50.190567	-50.19235	11400	-7.947286e-09	294197.94	-0.03351232	-2202.625	0.008469005	0.0	9.318742036819458
19	-535.28906	158.89394	-216.90346	-739.20135	32.444443	-52.340977	0.00029122	-52.339363	-52.341026	12000	-1.11262e-08	265639.7	-0.03129644	-2014.5	0.008732078	0.0	9.737212657928467
20	-509.07605	167.4698	-132.61053	-737.374	32.22222	-54.414528	0.00027397636	-54.413017	-54.41458	12600	-1.2318293e-07	241673.39	-0.03063589	-1834.25	0.007787676	0.0	10.385693788528442
21	-397.15225	167.86372	-97.387886	-652.8286	29.4	-56.4142	0.00027054138	-56.412777	-56.41425	13200	8.364518e-08	158952.67	-0.035956938	-1178.2656	0.009117399	0.0	10.809672355651855
22	-434.99448	206.26509	-113.93663	-733.1161	29.9	-58.057747	0.00025798444	-58.056396	-58.0578	13800	-1.5099843e-08	206691.44	-0.019885074	-1487.9219	0.007217533	1.0	11.246943712234497
23	-387.03677	194.74867	-133.68916	-708.359	28.571428	-59.889835	0.0002446912	-59.888546	-59.889877	14400	1.6609827e-07	168205.2	-0.020857202	-1226.6094	0.008378465	0.0	11.711437225341797
24	-353.1167	189.54655	-113.08066	-697.1865	27.809525	-61.598614	0.00023795375	-61.597393	-61.59866	15000	-1.1523564e-08	138384.14	-0.02067312	-962.6406	0.0070655895	0.0	12.165069818496704
25	-298.7033	166.96649	-69.97979	-675.0426	26.727272	-63.136265	0.0002328587	-63.135098	-63.13631	15600	-9.497007e-08	96960.16	-0.02916933	-671.625	0.009217024	0.0	12.633229970932007
26	-303.29498	168.07668	-83.368675	-670.78613	27.045454	-64.44751	0.00022259905	-64.446396	-64.447556	16200	-3.1789145e-09	101665.6	-0.01934126	-714.4219	0.00837652	1.0	13.071274995803833
27	-200.74379	146.41798	-74.35874	-612.046	24.0	-65.80468	0.00022404845	-65.803604	-65.804726	16800	0.0	53842.875	-0.047714207	-293.1953	0.00863631	0.0	13.51418423652649
28	-210.1739	136.59985	-68.13673	-786.1498	23.958334	-66.722786	0.00021945729	-66.72173	-66.72283	17400	-3.6358834e-08	47339.81	-0.03919326	-261.70312	0.007021843	0.0	13.948345184326172
29	-176.19513	112.14609	-71.6716	-631.5662	23.48	-67.579834	0.00021758492	-67.578804	-67.57987	18000	-5.9604646e-09	31265.617	-0.039248195	-174.22461	0.007639839	0.0	14.381794691085815
30	-186.1386	118.37397	-58.161877	-487.33185	23.96	-68.30197	0.00021288061	-68.30098	-68.302025	18600	-3.0795732e-08	35330.344	-0.039568685	-220.73438	0.009546636	0.0	15.060174465179443
31	-147.24638	55.23475	-67.48822	-265.0285	22.461538	-69.114395	0.0002118894	-69.11342	-69.11444	19200	2.0464261e-08	9586.765	-0.040567055	-85.63672	0.009291394	0.0	15.512385845184326
32	-130.86717	38.544548	-72.350975	-217.43456	22.23077	-69.6541	0.0002055637	-69.65315	-69.654144	19800	3.9140385e-08	5272.1177	-0.033467814	-49.262207	0.0070077516	0.0	15.979362964630127
33	-164.12794	136.50133	-55.219326	-647.06537	22.961538	-70.06363	0.0002041696	-70.0627	-70.06368	20400	5.165736e-08	38371.156	-0.03136067	-172.71484	0.0073322146	0.0	16.427363872528076
34	-122.95999	65.367	-63.119038	-353.90204	21.74074	-70.812294	0.00020433014	-70.81137	-70.81234	21000	2.4636586e-08	8326.639	-0.04230371	-50.60254	0.008197904	0.0	16.901601552963257
35	-141.09966	72.64834	-71.89877	-380.76495	22.461538	-71.26097	0.00019916568	-71.260056	-71.26102	21600	1.6291937e-08	11971.164	-0.033220604	-80.96777	0.007770164	0.0	17.35428547859192
36	-112.42048	32.955517	-59.704205	-209.37776	21.142857	-71.80208	0.000201357	-71.80118	-71.80212	22200	-3.4968057e-08	2781.614	-0.023507	-27.58496	0.008110515	2.0	17.81895089149475
37	-118.667435	45.083565	-58.00148	-280.25845	21.88889	-72.14396	0.00019629845	-72.143074	-72.144005	22800	1.11262e-08	4621.89	-0.027814602	-36.700195	0.0066857003	0.0	18.273316383361816
38	-118.12102	38.691715	-51.278812	-185.1938	20.821428	-72.52547	0.00019643309	-72.52459	-72.525505	23400	-7.172426e-08	3606.5808	-0.022872804	-33.833252	0.0072933966	1.0	18.72375226020813
39	-100.57153	27.340532	-56.43301	-165.2007	21.321428	-72.90432	0.00019466247	-72.90346	-72.904366	24000	4.1325887e-08	1543.449	-0.031493977	-14.278687	0.008266485	0.0	19.154462814331055
40	-121.35981	47.26115	-49.997646	-251.0207	21.62963	-73.1629	0.00019146006	-73.16203	-73.16294	24600	3.8743018e-08	4947.869	-0.009902773	-42.320312	0.008048539	3.0	19.828438997268677
41	-113.745964	35.033585	-46.170547	-183.59198	21.142857	-73.59176	0.00018973432	-73.59092	-73.591805	25200	7.6293944e-08	2889.295	-0.028129991	-31.129883	0.00818859	0.0	20.258023977279663
42	-111.16663	37.654213	-59.482647	-222.19556	21.071428	-73.98152	0.00018686098	-73.98068	-73.98155	25800	-8.34465e-09	2920.561	-0.032840732	-27.329346	0.008988878	0.0	20.706791400909424
43	-105.08122	33.225826	-53.649315	-177.65488	20.821428	-74.351074	0.00018328552	-74.35026	-74.35111	26400	-5.3246815e-08	1892.9587	-0.03910851	-17.466919	0.00809498	0.0	21.138453006744385
44	-110.936424	41.699883	-60.645306	-263.6744	21.071428	-74.65603	0.00018489074	-74.65521	-74.656075	27000	-4.2915346e-08	3450.6995	-0.033058595	-29.680664	0.0090593435	0.0	21.576197385787964
45	-107.52891	21.598316	-66.92971	-158.64168	20.551723	-75.050064	0.00018292737	-75.04926	-75.0501	27600	-1.4265379e-07	1460.6321	-0.03677905	-22.621216	0.0090629645	0.0	22.023330211639404
46	-96.6276	20.553923	-59.182995	-147.4846	20.642857	-75.40962	0.00017831905	-75.40883	-75.40966	28200	-3.794829e-08	799.36554	-0.025622867	-9.555908	0.008979392	0.0	22.489062786102295
47	-97.08053	25.823355	-51.84479	-164.47375	21.592592	-75.653244	0.00017374931	-75.65246	-75.65328	28800	-2.582868e-08	1145.4198	-0.024485292	-10.776245	0.008389398	0.0	22.95704174041748
48	-90.83686	20.604134	-51.156223	-133.04926	21.25	-75.9079	0.00017665605	-75.90711	-75.907936	29400	3.3775966e-09	625.35565	-0.03833479	-5.504944	0.009580961	0.0	23.41353988647461
49	-90.85516	32.353592	-48.222816	-223.10425	21.178572	-76.099144	0.00017363424	-76.098366	-76.099174	30000	2.7219455e-08	1400.9066	-0.018540816	-5.965088	0.007787811	0.0	23.865437984466553
50	-97.283516	37.582657	-51.997063	-210.62566	21.88889	-76.29677	0.00017209147	-76.29599	-76.29681	30600	1.1523564e-08	2023.4656	-0.030939456	-12.721436	0.009757716	0.0	24.548917531967163
51	-97.65952	30.53827	-54.068306	-177.35828	20.821428	-76.586876	0.0001734604	-76.58611	-76.58692	31200	-5.2452087e-08	1277.4121	-0.027068842	-10.96875	0.006692361	1.0	24.98801612854004
52	-83.4561	17.071861	-58.083546	-120.623795	21.428572	-76.868515	0.0001690713	-76.86776	-76.86856	31800	-3.417333e-08	349.4614	-0.02434979	-1.6589966	0.007216595	0.0	25.418907165527344
53	-96.48138	23.686	-60.238445	-151.16205	20.892857	-76.9903	0.00017086125	-76.98953	-76.990326	32400	1.5497207e-08	910.5318	-0.02370071	-9.909424	0.008131091	0.0	25.877645015716553
54	-92.50863	19.243277	-59.768326	-154.38547	21.285715	-77.2573	0.00016866656	-77.25656	-77.25735	33000	6.198883e-08	625.2843	-0.026061077	-7.7593384	0.0070308154	0.0	26.330377101898193
55	-92.15605	23.794378	-49.2671	-142.99573	20.821428	-77.510086	0.0001702814	-77.50932	-77.51012	33600	-2.3047129e-08	721.4646	-0.0286558	-5.9835815	0.008382509	0.0	26.786020040512085
56	-83.16973	16.75872	-52.052616	-107.86753	21.214285	-77.73591	0.00016703873	-77.73516	-77.73594	34200	-9.139379e-09	302.22583	-0.029275805	-1.0043945	0.008734124	0.0	27.247407913208008
57	-83.66911	21.67683	-55.848328	-160.97348	21.178572	-77.83778	0.00016683883	-77.83704	-77.83782	34800	1.37090685e-08	462.4529	-0.023013696	-0.9151001	0.007968324	0.0	27.716065883636475
58	-84.093254	17.154512	-52.81791	-121.18406	21.142857	-77.928856	0.00016704483	-77.92811	-77.92889	35400	-4.7683715e-09	331.01462	-0.021016145	-1.2852478	0.0074292915	0.0	28.177937984466553
59	-90.7921	19.341398	-52.48571	-124.81003	21.142857	-78.03823	0.0001667952	-78.03749	-78.03827	36000	-1.5894572e-09	529.00543	-0.027685195	-5.593628	0.0075659766	1.0	28.637601852416992
60	-84.49389	15.009892	-51.077374	-128.45636	21.407408	-78.266136	0.00016304964	-78.26539	-78.26616	36600	-2.5431316e-08	260.38736	-0.0297144	-1.6564941	0.00890937	0.0	29.336456298828125
61	-86.4262	23.421164	-43.9626	-162.4745	21.178572	-78.40359	0.00016197092	-78.40287	-78.403625	37200	4.4902166e-08	573.5719	-0.037686557	-2.269287	0.008549242	0.0	29.764617681503296
62	-81.23669	22.010756	-48.78058	-165.3262	21.481482	-78.55765	0.00016264633	-78.55692	-78.55769	37800	-1.7484028e-08	505.50656	-0.035949152	-0.34884644	0.0085520875	0.0	30.206029415130615
63	-78.43363	20.12668	-49.282963	-133.51016	21.518518	-78.62595	0.0001608892	-78.62523	-78.62599	38400	-1.2119611e-08	397.10184	-0.029212862	-0.000579834	0.00831073	0.0	30.63689112663269
64	-80.42844	17.0644	-48.60745	-128.66605	21.481482	-78.62513	0.0001577447	-78.62441	-78.62516	39000	-1.6887983e-08	281.27972	-0.0176524	-0.10409546	0.009785269	0.0	31.09212827682495
65	-75.244446	13.103376	-48.878563	-103.30637	21.142857	-78.65809	0.00016206464	-78.657364	-78.65812	39600	-3.695488e-08	183.17545	-0.024446484	-0.53700256	0.0073661003	0.0	31.53831934928894
66	-81.372116	17.352797	-54.107395	-124.62067	21.357143	-78.582794	0.00016359997	-78.58207	-78.58283	40200	7.549922e-09	301.56308	-0.023737635	-0.24078369	0.008137721	0.0	31.978756189346313
67	-76.34986	14.902681	-56.010162	-107.582184	21.25	-78.63089	0.00016381804	-78.63017	-78.630936	40800	-3.973643e-09	223.94713	-0.023885926	-0.29600525	0.009604584	0.0	32.41488003730774
68	-78.464935	17.56494	-45.80527	-127.14162	21.666666	-78.57463	0.00016087714	-78.573906	-78.57467	41400	1.3311704e-08	301.15073	-0.026641548	-0.003967285	0.008299848	0.0	32.87202715873718
69	-79.2646	16.317978	-51.187866	-115.47426	21.555555	-78.56253	0.0001593034	-78.56181	-78.56257	42000	-1.013279e-08	258.43347	-0.021222537	-0.014404297	0.009473455	0.0	33.336037158966064
70	-70.38495	13.611804	-43.721825	-103.21085	21.703703	-78.57604	0.00016089554	-78.57532	-78.57608	42600	8.742014e-09	246.34685	-0.014277087	-3.4512024	0.007885085	0.0	34.06580138206482
71	-70.286514	12.485969	-40.757713	-96.89453	21.518518	-78.35983	0.00016097451	-78.3591	-78.35986	43200	8.543332e-09	216.55402	-0.022525657	-3.9515686	0.009753392	0.0	34.51703715324402
72	-72.62242	10.997823	-46.863445	-94.676895	21.518518	-78.10862	0.00016245118	-78.10789	-78.10866	43800	-7.152557e-09	148.31308	-0.022478685	-1.958374	0.008888253	0.0	34.96735334396362
73	-77.11766	16.412329	-52.393444	-118.00254	21.555555	-77.92372	0.00016259593	-77.92298	-77.92375	44400	2.9802322e-10	264.74423	-0.02114693	-0.08074951	0.0073558474	1.0	35.46366763114929
74	-71.117424	16.415827	-46.916786	-120.84309	21.666666	-77.87719	0.00016410265	-77.87645	-77.87723	45000	5.5631002e-08	305.42853	-0.024214773	-3.0323486	0.009369003	0.0	35.95312285423279
75	-67.76175	14.648293	-40.195225	-103.96219	21.925926	-77.65505	0.00016422941	-77.654305	-77.65508	45600	-1.66893e-08	312.31525	-0.027913017	-6.670929	0.009101486	0.0	36.44180130958557
76	-74.45434	14.51044	-48.241592	-100.42105	21.592592	-77.307434	0.00016741872	-77.30667	-77.307465	46200	-6.9538753e-09	210.4962	-0.022157907	-0.8885498	0.008203458	0.0	36.940258741378784
77	-68.94442	16.862267	-34.958366	-112.32319	21.962963	-77.16147	0.00016746245	-77.16072	-77.161514	46800	3.208717e-08	353.34152	-0.021925056	-4.915619	0.008027864	0.0	37.39961338043213
