Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-826.25244	96.05451	-369.7491	-912.947	11.875	0.9042603	0.60785973	1.8465309	-0.80966794	600	-1.9788742e-07	542384.6	-0.040389545	-5962.75	2.763512	0.016798502	0.27833334	20.0	1.0088982582092285
1	-817.2929	89.07985	-563.6568	-886.4	12.234042	-3.3765752	0.8951216	-0.5799607	-4.2197084	1200	-4.529953e-08	506602.03	-0.044772916	-4843.1562	2.7357066	0.0076907887	0.31166667	79.0	1.6319010257720947
2	-802.1416	136.50078	-314.44516	-909.99805	12.0625	-6.9414525	1.6603166	-1.5049901	-7.823369	1800	-2.18153e-07	426839.38	-0.03423593	-3443.2812	2.64335	0.01685922	0.25666666	20.0	2.171463966369629
3	-724.19763	246.70091	-38.21934	-886.4	12.76087	-9.765719	2.0121622	-2.900202	-10.412359	2400	-1.9868216e-08	273861.12	-0.05388291	-1877.75	2.6348836	-0.000695104	0.345	79.0	2.835693597793579
4	-633.8414	234.56075	-273.19223	-886.4	20.535715	-12.063235	1.7206345	-4.4470787	-12.473983	3000	4.2915346e-08	221777.84	-0.025459656	-1798.3438	2.5689483	0.015615385	0.215	25.0	3.3858234882354736
5	-598.475	300.1973	-59.29624	-886.4	17.90909	-14.050735	2.0086339	-5.8830986	-14.56317	3600	-6.039937e-08	160317.6	-0.039401893	-1244.3906	2.5205297	0.0027571206	0.25	79.0	4.016330242156982
6	-498.63913	301.90625	-27.007896	-886.4	22.653847	-15.947146	1.8426112	-7.463087	-16.356081	4200	6.357829e-08	148513.4	-0.037578378	-1165.4219	2.5336044	0.015332292	0.36	39.0	4.594479084014893
7	-379.3717	276.99292	-61.62867	-886.4	24.916666	-17.740667	1.8353641	-8.968069	-18.141033	4800	-4.2915346e-08	89753.07	-0.04186551	-768.89844	2.4854522	0.002456224	0.27833334	79.0	5.237705707550049
8	-515.49286	312.94275	-128.62157	-886.4	19.433332	-19.15657	2.074124	-10.275485	-19.649387	5400	-3.1789146e-08	97676.42	-0.02791689	-873.28906	2.4386265	0.015252473	0.35666665	30.0	5.816134214401245
9	-487.1702	356.2557	-53.94353	-886.4	17.088236	-20.711535	2.1510766	-12.070006	-21.251644	6000	8.503596e-08	60825.68	-0.03976745	-472.14453	2.3570395	0.005813442	0.225	79.0	6.469106912612915
10	-431.2895	370.138	-32.00877	-886.4	17.848484	-21.9595	2.0009463	-13.798129	-22.454693	6600	-6.039937e-08	33121.3	-0.034393106	-255.10938	2.2192986	-0.0020329754	0.25333333	79.0	7.336260557174683
11	-430.36954	387.20514	-23.632471	-886.4	16.416666	-22.842798	1.9569018	-15.209517	-23.346867	7200	-7.947286e-10	27972.404	-0.038308937	-175.83398	2.1113386	0.0018015472	0.29	79.0	7.9677040576934814
12	-338.88718	379.02695	-26.346264	-886.4	18.64516	-23.653345	1.6994396	-16.527788	-24.06748	7800	-1.11262e-08	16693.771	-0.027158815	-84.30859	1.9794401	0.015017505	0.08166666	57.0	8.694639444351196
13	-197.3328	295.30362	-37.90982	-886.4	22.807692	-24.258495	1.4788171	-17.44616	-24.58155	8400	0.0	8424.566	-0.02462342	-49.15332	1.9722673	0.009976552	0.13666667	79.0	9.335393190383911
14	-224.92738	313.4087	-35.979385	-886.4	21.88889	-24.69181	1.4733568	-18.038456	-25.021955	9000	-2.22524e-08	11840.346	-0.026888952	-67.0459	1.9777653	-0.00041945328	0.16666667	79.0	9.98700213432312
15	-195.01479	295.92264	-36.333576	-886.4	22.76923	-25.220375	1.4139662	-18.706736	-25.52908	9600	3.1789145e-09	7699.7017	-0.02332023	-46.680176	2.0403142	0.0047416864	0.12833333	79.0	10.639572381973267
16	-188.69653	295.78232	-24.75628	-886.4	22.807692	-25.681402	1.3848523	-19.30224	-25.984455	10200	1.11262e-08	9608.009	-0.023861088	-41.83008	1.9782064	0.0077660982	0.135	79.0	11.289172649383545
