Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-823.3118	68.702225	-690.7577	-886.4	12.083333	0.5456141	0.5311027	2.2942805	-0.4753631	600	1.5417734e-07	586911.06	-0.0388561	-7241.125	0.0070632664	0.0	1.2778208255767822
1	-842.2168	66.68418	-669.1186	-899.21857	9.916667	-4.241868	1.4097847	-0.63905025	-5.470932	1200	6.775061e-08	605307.0	-0.042064995	-5835.4375	0.008504822	0.0	1.9147822856903076
2	-836.7009	61.875435	-690.7074	-886.4	11.156863	-8.155448	2.0774136	-1.6674166	-8.948425	1800	-9.775162e-08	567952.5	-0.034550354	-3807.625	0.006785892	0.0	2.5470523834228516
3	-825.1513	75.00349	-526.22675	-886.4	14.261905	-10.91697	2.1948187	-3.0529618	-11.569925	2400	1.4781952e-07	596733.5	-0.040368266	-4245.0625	0.008202432	0.0	3.1993606090545654
4	-798.0521	99.95666	-491.73846	-886.4	18.121212	-13.838193	2.2216895	-4.780375	-14.397214	3000	-4.8478444e-08	514697.28	-0.028821906	-3728.6875	0.008058719	1.0	3.8274765014648438
5	-826.9797	72.569595	-663.9689	-886.4	16.083334	-16.418655	2.4978917	-6.6760035	-17.066643	3600	3.536542e-08	537526.5	-0.03081825	-3800.0	0.0073194248	0.0	4.468717098236084
6	-777.7033	112.53153	-533.52466	-905.3707	19.51724	-19.19646	2.3248367	-9.063546	-19.73544	4200	1.6172727e-07	440549.53	-0.030020718	-3117.5625	0.009374702	0.0	5.104811429977417
7	-749.73694	147.81038	-245.75798	-901.5462	21.285715	-21.64356	2.3163054	-11.389315	-22.185364	4800	1.2179216e-07	442662.56	-0.023604129	-3246.9062	0.007130714	0.0	5.712958812713623
8	-776.4278	147.21239	-378.43842	-886.4	15.307693	-23.960243	2.694209	-13.879617	-24.683155	5400	1.1920929e-08	378235.7	-0.035501953	-2903.75	0.0063583567	0.0	6.439880847930908
9	-764.595	134.29134	-399.18454	-886.4	18.75	-26.496521	2.2871683	-16.86072	-27.042068	6000	-1.0251999e-07	398951.9	-0.035937753	-3109.5625	0.0066550258	0.0	7.067073822021484
10	-728.03107	183.4614	-210.8381	-886.4	19.5	-29.001442	2.161613	-19.740713	-29.50843	6600	-2.3444494e-08	349861.66	-0.029122824	-2618.0	0.00803465	0.0	7.97744345664978
11	-652.95465	220.17497	-136.2715	-886.4	21.62963	-31.359365	1.9811857	-22.430443	-31.809572	7200	-1.5536943e-07	251107.62	-0.028283078	-1906.4219	0.008546433	0.0	8.59813117980957
12	-656.532	211.74883	-210.21133	-886.4	22.5	-33.39804	1.8759791	-24.758533	-33.808758	7800	-1.1205673e-07	261419.47	-0.025099633	-2011.6875	0.009630437	0.0	9.218733787536621
13	-631.62036	225.57185	-89.78952	-886.4	23.04	-35.488903	1.7791135	-27.129982	-35.86963	8400	6.953875e-08	233744.05	-0.029716812	-1813.5938	0.00860607	0.0	9.851600170135498
14	-630.7644	234.99323	-197.21669	-886.4	22.0	-37.48423	1.749116	-29.426544	-37.8651	9000	7.8678134e-08	217314.69	-0.020678567	-1691.1406	0.0067667253	1.0	10.458117961883545
15	-583.8344	263.09616	-131.25891	-886.4	21.666666	-39.43479	1.7053131	-31.727196	-39.813377	9600	1.1920929e-08	174742.89	-0.03225089	-1363.75	0.009087433	0.0	11.07970142364502
16	-589.523	267.94348	-160.91841	-886.4	20.206896	-41.207916	1.6820215	-33.87622	-41.594925	10200	-6.834666e-08	147592.67	-0.025385154	-1217.9219	0.0090661235	0.0	11.699846982955933
17	-568.2288	301.74747	-142.33623	-886.4	17.969696	-42.88039	1.6869606	-35.997482	-43.29473	10800	5.2452087e-08	98961.8	-0.026082978	-818.22656	0.009878551	1.0	12.36220407485962
18	-430.23398	276.14093	-51.481632	-886.4	23.833334	-44.425705	1.359745	-37.91404	-44.71305	11400	-8.940697e-08	69899.32	-0.025141383	-586.9297	0.007896691	0.0	12.975265979766846
19	-386.22226	275.3993	-89.42102	-886.4	24.583334	-45.677013	1.3136176	-39.377174	-45.951725	12000	-2.1457673e-08	64218.6	-0.029235786	-522.0156	0.008535633	0.0	13.608691930770874
20	-404.7486	307.8897	-46.531574	-886.4	22.76923	-46.836555	1.3391243	-40.730835	-47.139545	12600	1.07288365e-08	67257.04	-0.032077324	-479.52344	0.008920311	0.0	14.480838537216187
21	-346.84586	347.59964	-31.77668	-886.4	20.714285	-47.988834	1.3350248	-42.09905	-48.296772	13200	-6.67572e-08	23011.191	-0.025798002	-125.884766	0.0077335876	0.0	15.077935457229614
22	-337.03677	352.57718	-24.803848	-886.4	20.607143	-48.63226	1.2755945	-42.972095	-48.92044	13800	-6.0598055e-08	19165.75	-0.030319331	-84.56055	0.008401918	0.0	15.732062578201294
23	-248.10823	315.9928	-22.501001	-886.4	22.961538	-49.15524	1.182321	-43.70863	-49.412766	14400	1.5894573e-08	12025.623	-0.027758714	-45.835938	0.009475955	0.0	16.362293481826782
24	-259.3193	337.1157	-23.703884	-886.4	21.962963	-49.49004	1.1997817	-44.242973	-49.78778	15000	1.9073486e-08	9720.855	-0.028237628	-25.480469	0.007933925	0.0	17.00460171699524
25	-221.80157	294.20215	-30.41756	-886.4	23.32	-49.67588	1.2996514	-38.870586	-50.06222	15600	-1.5894573e-08	9813.636	-0.03689418	-46.791016	0.0065061017	0.0	17.65332818031311
26	-227.03647	323.87408	-23.509115	-886.4	22.461538	-50.176464	1.0876793	-45.165817	-50.413227	16200	1.5894572e-09	8027.836	-0.0392086	-14.314453	0.0032555717	0.0	18.297123432159424
27	-95.94579	170.58386	-23.2884	-886.4	25.608696	-50.42777	1.0004044	-45.526833	-50.632515	16800	-1.9073486e-08	1998.3221	-0.023975054	-2.3068848	0.008015807	0.0	18.947531700134277
28	-187.65225	298.92523	-30.192425	-886.4	22.846153	-50.501835	1.0489428	-45.669632	-50.7301	17400	-9.536743e-09	5517.98	-0.040152766	-5.1381836	0.0034669368	0.0	19.592991828918457
29	-129.27702	229.46085	-21.951302	-886.4	24.791666	-50.643246	0.98906195	-45.899883	-50.849968	18000	0.0	3043.0576	-0.03362154	-3.168457	0.004120737	0.0	20.238401174545288
30	-54.949173	22.904907	-25.297216	-116.50355	26.954546	-50.77	0.9371255	-46.076237	-50.95751	18600	-1.39077505e-08	546.54694	-0.03059245	-0.39276123	0.008203329	0.0	21.175615787506104
31	-77.328255	39.96912	-27.977705	-187.88141	26.772728	-50.815735	0.9350821	-46.13223	-51.002975	19200	1.7285346e-08	2427.5881	-0.031524125	-12.207275	0.008359534	0.0	21.80785608291626
32	-82.24789	31.011183	-28.914005	-140.14026	26.40909	-51.042667	0.934449	-46.36231	-51.229633	19800	-5.642573e-08	1837.3481	-0.03208457	-16.82434	0.009144682	0.0	22.458402156829834
33	-104.6454	169.39703	-29.353712	-886.4	25.608696	-51.318615	0.9527024	-46.651363	-51.51357	20400	9.536743e-09	2462.265	-0.023823839	-7.82959	0.007334632	0.0	23.097727298736572
34	-98.713005	169.41786	-26.196733	-886.4	25.347826	-51.522373	0.9459065	-46.888424	-51.715973	21000	7.947286e-09	1802.2992	-0.029687101	-3.3875732	0.0072294697	0.0	23.74067997932434
35	-65.24202	35.476364	-21.838545	-155.35019	27.136364	-51.665894	0.91916335	-47.06211	-51.849834	21600	-4.172325e-09	1510.6691	-0.026332522	-4.371582	0.0077248146	0.0	24.410700798034668
36	-95.02067	171.49638	-19.007486	-886.4	25.652174	-51.811687	0.93654305	-47.22361	-52.00339	22200	1.9073486e-08	2203.8474	-0.030744009	-1.8220215	0.00654847	0.0	25.053536653518677
37	-73.01057	31.239864	-19.038506	-134.09818	26.636364	-51.922485	0.91032463	-47.362988	-52.10482	22800	2.3047129e-08	1406.9492	-0.033322096	-9.591919	0.00843015	0.0	25.70165467262268
38	-110.64344	170.32704	-19.983437	-886.4	25.565218	-52.1464	0.92732215	-47.603485	-52.336147	23400	1.5894572e-09	3323.404	-0.030708661	-13.450195	0.008635483	0.0	26.33894157409668
39	-58.85651	27.66789	-25.60939	-137.94884	26.681818	-52.441135	0.90066475	-47.930004	-52.621372	24000	2.404054e-08	812.7608	-0.026551843	-1.4019775	0.00935668	0.0	26.9865620136261
40	-93.57691	169.80313	-35.24709	-886.4	25.173914	-52.541565	0.9173462	-48.047516	-52.729214	24600	0.0	1460.859	-0.027487952	-1.1849365	0.0057864613	0.0	27.940608263015747
41	-63.485306	20.201405	-25.043804	-107.38274	26.454546	-52.634197	0.89056706	-48.173634	-52.81238	25200	-2.78155e-09	507.3845	-0.030256454	-2.902832	0.0086024245	0.0	28.552199125289917
42	-63.817562	37.709766	-19.431328	-168.54329	26.863636	-52.774265	0.88853586	-48.323875	-52.952076	25800	-1.9868216e-08	1585.4598	-0.03415913	-3.690796	0.008939034	0.0	29.199463844299316
43	-54.76371	18.319717	-24.921677	-92.252846	26.545454	-52.938595	0.88755125	-48.49314	-53.116158	26400	3.5762786e-09	327.3105	-0.020239795	-0.13848877	0.0095608095	0.0	29.844605922698975
44	-69.950806	30.248228	-25.449316	-128.69522	27.227272	-52.980057	0.8863959	-48.540382	-53.157368	27000	-5.4637592e-08	1234.5714	-0.024548614	-8.763672	0.008308193	0.0	30.492143630981445
45	-90.5112	171.55943	-19.6088	-886.4	25.695652	-53.223835	0.9036746	-48.796757	-53.40865	27600	-1.5894572e-09	1843.4587	-0.0304257	-0.517334	0.0069665625	0.0	31.134340524673462
46	-132.85303	228.90585	-27.266617	-886.4	24.625	-53.28657	0.9113348	-48.91598	-53.477043	28200	-2.4636586e-08	3285.372	-0.037731394	-6.334961	0.0059674396	0.0	31.789925813674927
47	-56.82278	32.15942	-19.386726	-155.0218	27.0	-53.515446	0.8560548	-49.227745	-53.686684	28800	1.658996e-08	1091.2305	-0.026608543	-0.70947266	0.008272079	0.0	32.43107485771179
48	-53.95764	23.49261	-21.56613	-116.94776	27.0	-53.605366	0.85285276	-49.3337	-53.77597	29400	7.549922e-09	556.3716	-0.02857202	-0.021240234	0.008727684	0.0	33.06782150268555
49	-66.32529	22.967838	-26.395407	-123.550674	26.59091	-53.622814	0.85169137	-49.356964	-53.79317	30000	4.430612e-08	682.04877	-0.025287168	-5.3930664	0.009147477	0.0	33.69761276245117
50	-58.295933	29.331886	-25.923801	-133.15096	26.636364	-53.84065	0.8504937	-49.580795	-54.01076	30600	1.1920929e-08	866.1877	-0.029274961	-0.86846924	0.007715143	0.0	34.67542123794556
51	-43.295914	16.4316	-22.748997	-77.88886	26.59091	-53.944447	0.8491478	-49.691338	-54.114292	31200	1.1523564e-08	375.33823	-0.026500344	-3.9477844	0.0073204054	1.0	35.324467182159424
52	-60.952126	35.789677	-23.796402	-189.705	26.772728	-53.755684	0.8476426	-49.510113	-53.925232	31800	9.934108e-09	1379.0748	-0.035510633	-1.9161377	0.0074274936	0.0	35.947245836257935
53	-50.077305	22.91687	-16.57322	-119.39479	26.863636	-53.881165	0.8464314	-49.641666	-54.050488	32400	3.89417e-08	539.78955	-0.026554134	-0.4091797	0.0065629007	0.0	36.593552112579346
54	-58.701427	18.200245	-30.836502	-92.2694	26.636364	-53.82534	0.8449429	-49.593296	-53.994408	33000	-9.338061e-09	342.7707	-0.020437412	-0.7959595	0.009487818	0.0	37.24355149269104
55	-46.402493	17.277655	-20.621513	-82.52023	26.545454	-53.912872	0.8433622	-49.688755	-54.081642	33600	-2.1855036e-09	347.1746	-0.025765976	-2.221527	0.008705996	0.0	37.88011145591736
56	-48.07322	16.619606	-19.349632	-78.856926	27.0	-53.76155	0.8416597	-49.54596	-53.92999	34200	-3.1789145e-09	305.28915	-0.022529388	-1.651123	0.0085416455	0.0	38.54392194747925
57	-52.798473	19.073048	-26.624493	-96.1835	26.818182	-53.61234	0.8399117	-49.4055	-53.780403	34800	-2.7418137e-08	363.0909	-0.030637236	-0.046173096	0.008215294	0.0	39.31331253051758
58	-86.625496	172.26077	-18.86681	-886.4	25.913044	-53.57261	0.8554961	-49.38156	-53.747593	35400	9.536743e-09	1811.5203	-0.029590176	-0.37194824	0.007896809	0.0	39.99700617790222
59	-45.900826	21.952208	-20.441645	-101.28686	26.818182	-53.53649	0.823472	-49.411983	-53.70123	36000	-3.973643e-09	543.8418	-0.02196123	-2.8483887	0.007834263	0.0	40.66048741340637
60	-47.168064	23.608416	-23.149649	-134.01526	26.818182	-53.340683	0.81993145	-49.23391	-53.50472	36600	5.5631e-09	600.65283	-0.018476097	-2.145935	0.008515033	0.0	41.61384701728821
61	-108.41892	234.93835	-21.500538	-886.4	24.625	-53.142883	0.85133654	-49.06002	-53.32071	37200	-6.9936114e-08	2759.411	-0.03730785	-9.969727	0.005714724	0.0	42.24382472038269
62	-42.98239	14.768676	-20.100454	-73.71178	26.545454	-52.78732	0.7881341	-48.839806	-52.944965	37800	-1.0331472e-08	308.95508	-0.020605065	-6.215454	0.0065843584	0.0	42.86186099052429
63	-41.62701	18.605747	-19.88683	-88.850685	26.727272	-52.46137	0.78239036	-48.542625	-52.61787	38400	1.013279e-08	455.90353	-0.021549953	-7.4830627	0.007878578	0.0	43.50975728034973
64	-39.100502	15.665807	-19.066195	-82.994545	26.727272	-52.103794	0.77995676	-48.197243	-52.25983	39000	1.1920929e-08	411.13666	-0.018663693	-11.1371155	0.006749348	0.0	44.14935088157654
65	-42.107395	22.40928	-18.575191	-100.00687	26.90909	-51.66078	0.7772496	-47.76779	-51.81629	39600	3.973643e-09	585.6312	-0.0074791154	-6.5877686	0.009758199	2.0	44.7835488319397
66	-34.51541	10.603968	-16.564137	-63.003914	26.90909	-51.303333	0.77461463	-47.42354	-51.458286	40200	-3.1789145e-09	390.84207	-0.012571191	-19.727448	0.0056407666	0.0	45.41493058204651
67	-44.535816	13.314589	-17.146854	-75.19751	27.136364	-50.699364	0.7712395	-46.83648	-50.853676	40800	4.529953e-08	214.82784	-0.027540538	-3.3541412	0.009440357	0.0	46.088379859924316
68	-36.103134	14.091437	-15.57654	-80.82477	27.0	-50.415707	0.7685573	-46.566246	-50.569454	41400	-2.1060307e-08	401.5517	-0.013920277	-15.124237	0.006690473	0.0	46.745402097702026
69	-36.827286	14.74447	-19.013329	-64.21023	26.772728	-49.870224	0.7650675	-46.038242	-50.023273	42000	-1.5894573e-08	383.03052	-0.017815271	-14.006561	0.007823274	0.0	47.38411569595337
70	-38.501522	16.088835	-17.67732	-70.52756	26.954546	-49.31474	0.76138324	-45.501217	-49.467087	42600	-9.934108e-09	373.08533	-0.01591215	-10.091156	0.0070423875	0.0	48.397705078125
71	-37.874348	15.485715	-20.414207	-86.54612	27.045454	-48.831387	0.7577651	-45.03599	-48.98301	43200	-5.3048133e-08	359.2158	-0.007384643	-10.46344	0.009590576	0.0	49.10048151016235
72	-39.07307	13.308745	-21.625177	-72.836235	26.954546	-48.335316	0.7539739	-44.558914	-48.48622	43800	3.973643e-10	262.24423	-0.018534146	-7.898712	0.005939898	0.0	49.735148191452026
