Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-848.5236	57.5033	-690.9855	-898.10754	9.459017	-0.9756893	0.38060212	0.0	-1.8386323	600	-0.066289395	595940.4	-0.0025738478	-5431.3125	2.7676978	0.0007160785	1.2098026275634766
1	-835.1215	70.1996	-601.8835	-886.4	9.344262	-4.5787954	1.3576493	-0.6813667	-5.338962	1200	-0.033414703	551242.4	-0.0019113347	-4997.8125	2.8098886	-0.00041396558	1.8023645877838135
2	-837.2905	63.790882	-630.25055	-886.4	8.835821	-7.8988185	2.297577	-1.6733463	-9.179981	1800	-0.017821044	569290.44	-0.0021643527	-4370.875	2.7900426	0.000311053	2.4070661067962646
3	-837.1001	70.22573	-639.71014	-944.80365	11.037037	-11.062789	2.4833024	-3.2499743	-11.873002	2400	-0.028296376	591628.94	-0.0016220659	-4249.9375	2.7815201	0.000485183	2.9950294494628906
4	-829.2579	65.4423	-658.65533	-886.4	11.9	-13.925834	2.6711447	-5.1644564	-14.751404	3000	-0.030115522	581692.7	-0.0016958341	-4227.9375	2.8029284	0.00043245117	3.595452308654785
5	-845.9239	57.09918	-706.0652	-886.4	11.038462	-16.693789	2.8829715	-7.4320393	-17.593878	3600	-0.040225778	569443.8	-0.0013303198	-4020.0	2.7653651	-0.00014063776	4.194047212600708
6	-836.53796	72.51425	-574.857	-886.4	10.703704	-19.39497	2.9557805	-10.090712	-20.336792	4200	-0.055429593	532493.6	-0.002083823	-3811.1875	2.8304992	0.0012514982	4.771815299987793
7	-831.205	68.926506	-676.2151	-886.4	10.698113	-22.089834	2.860581	-12.993872	-22.992012	4800	-0.03735253	521929.72	-0.0020100847	-3726.5312	2.7993877	0.0003137374	5.354593276977539
8	-831.453	90.05696	-512.8634	-920.62067	10.672728	-24.71977	2.7982998	-15.998112	-25.61865	5400	-0.053646978	495075.03	-0.00082760304	-3650.7188	2.7857633	-0.00043566385	5.941332101821899
9	-824.14026	76.0486	-645.14996	-886.4	11.48	-27.442799	2.5416613	-19.103737	-28.219055	6000	-0.017305996	489710.25	-0.00080878846	-3591.75	2.7724035	-3.267149e-05	6.518462181091309
10	-821.24243	82.48594	-591.58014	-913.70447	11.58	-30.078268	2.4204183	-22.136982	-30.816883	6600	-0.057634454	490051.47	-0.0014741719	-3626.4062	2.815607	0.00026868025	7.370563268661499
11	-826.9889	74.275795	-651.529	-886.4	12.244898	-32.760677	2.254544	-25.200428	-33.433624	7200	-0.009690278	526474.4	-0.0009777248	-4027.9062	2.7663748	0.00018113812	7.9627907276153564
12	-821.05585	69.75062	-629.4475	-886.4	13.302325	-35.615707	2.0367575	-28.375517	-36.189445	7800	0.012822427	523762.5	-0.0013582194	-3836.8438	2.8097734	0.00023463846	8.55557632446289
13	-800.86237	100.222626	-490.91656	-886.4	14.166667	-38.359524	1.9289345	-31.417114	-38.896057	8400	-0.006615297	466057.38	-0.0012617651	-3525.75	2.7172863	0.00038139283	9.119980812072754
14	-833.72577	69.49422	-659.6068	-886.4	10.035088	-40.803894	2.113115	-34.344257	-41.495827	9000	-0.07942556	481698.28	-0.0014675558	-3581.6875	2.7581677	0.00027510524	9.72572922706604
15	-808.3221	89.73899	-646.9964	-886.4	16.63889	-43.683144	1.5817652	-37.513	-44.088913	9600	-0.05391393	466924.22	-0.0008626431	-3596.9688	2.7686062	-0.00026248812	10.390064001083374
16	-830.6058	74.98693	-648.04803	-886.4	11.226415	-46.15137	1.8130667	-40.386192	-46.721992	10200	-0.032926083	489192.44	-0.0010808632	-3760.6562	2.765505	0.00027261415	10.997808933258057
17	-806.4847	84.69275	-619.43146	-895.61945	15.324325	-49.021236	1.4361136	-43.49837	-49.395027	10800	0.0058896067	450069.22	-0.0009032935	-3307.3125	2.8268054	0.00036545456	11.599992036819458
18	-836.01434	80.90576	-641.59796	-886.4	9.126985	-51.329777	1.7449373	-46.280003	-51.93302	11400	-0.0411331	437414.28	-0.00076779723	-3300.5625	2.7820456	-0.00012849529	12.211148977279663
19	-838.1952	74.24907	-659.7316	-886.87244	10.962963	-53.965927	1.4837148	-49.295387	-54.43744	12000	-0.048113283	481362.4	-0.000754077	-3696.2812	2.7751024	0.00014054736	12.818777561187744
20	-818.01245	76.55442	-669.9512	-886.4	14.195122	-56.764767	1.2174966	-52.327038	-57.099045	12600	-0.007788766	454706.62	-0.0008439077	-3467.9688	2.776043	0.00062972447	13.711248397827148
21	-829.0436	84.82321	-615.5914	-886.4	11.0188675	-59.294792	1.3051454	-55.144695	-59.705517	13200	-0.019824982	438533.94	-0.00093279965	-3340.0625	2.779636	-0.00019638817	14.3456130027771
22	-804.0969	93.46935	-620.66516	-899.007	14.121951	-61.957527	1.089098	-57.98781	-62.256504	13800	-0.03679443	414926.2	-0.0011833906	-3141.4062	2.702704	0.00013482729	15.054399728775024
23	-828.1755	88.86315	-613.92267	-892.31586	11.714286	-64.40693	1.1279	-60.6661	-64.74712	14400	-0.017219026	441014.2	-0.0011033695	-3289.1875	2.7576203	0.00038329602	15.660187721252441
24	-809.0076	99.337585	-548.81525	-886.4	14.8	-67.02644	0.9718332	-63.438004	-67.289764	15000	-0.00558026	420624.06	-0.0014129542	-3259.2812	2.76496	-4.869342e-05	16.250136137008667
25	-780.5663	118.21394	-425.24643	-886.4	15.837838	-69.60184	0.89945203	-66.1428	-69.8358	15600	-0.036227185	361351.9	-0.0016957186	-2806.0312	2.7788937	-0.00012440264	16.838719367980957
26	-800.82544	99.49981	-566.24536	-886.4	13.952381	-71.96228	0.9190547	-68.65451	-72.217766	16200	-0.029978832	388941.75	-0.0014613848	-3024.0312	2.7839699	-4.8020083e-05	17.469985485076904
27	-784.6735	114.70543	-453.69766	-886.4	14.341463	-74.44201	0.8694036	-71.27307	-74.680695	16800	-0.01889088	346459.97	-0.00086421147	-2743.9688	2.7520723	-6.271799e-05	18.12422490119934
28	-811.5004	113.69711	-348.55038	-886.6098	11.816326	-76.76795	0.9223794	-71.920975	-77.048996	17400	-0.042150903	375972.9	-0.0015028976	-2887.375	2.771694	-0.0005473095	18.762656688690186
29	-779.9327	110.981735	-617.02496	-886.4	18.193548	-79.30719	0.6908822	-76.39644	-79.47124	18000	0.006223433	338339.12	-0.0008288291	-2629.4062	2.6794648	-1.2889107e-05	19.44094204902649
30	-806.08484	101.580986	-595.7037	-886.4	12.755555	-81.58356	0.79414177	-78.82758	-81.81249	18600	-0.07535178	355170.03	-0.001559332	-2802.6562	2.7321756	-0.00081819354	20.632508993148804
31	-814.64923	99.34383	-613.5205	-886.4	13.181818	-84.010895	0.7479158	-81.3843	-84.22392	19200	-0.04843949	369659.34	-0.0016081557	-2960.4688	2.6950421	7.5250864e-05	21.79817247390747
