Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-834.011	74.59817	-645.64954	-886.4	13.761905	-1.6270554	0.48922738	0.0	-3.126701	600	5.5631e-09	572233.2	-0.028327476	-6067.75	0.0065301093	0.0	0.6995289325714111
1	-844.11884	70.04163	-618.0897	-917.98267	15.945946	-5.8237023	1.3337034	-0.78535	-6.4926224	1200	1.9232432e-07	634775.9	-0.034609515	-6022.25	0.007033426	0.0	1.0666277408599854
2	-828.2873	70.543365	-665.05835	-886.4	14.9	-9.634103	2.1078942	-1.8770511	-10.336586	1800	-1.7543634e-07	568260.06	-0.03650355	-4496.1875	0.008190879	0.0	1.4047157764434814
3	-796.28937	102.20658	-588.77716	-924.8033	18.741936	-12.76543	2.2175891	-3.4829302	-13.36149	2400	-1.2715658e-07	511867.62	-0.039263796	-3577.6562	0.008586608	0.0	1.7576589584350586
4	-771.4505	104.51391	-444.84152	-886.4	22.307692	-15.434056	2.2100663	-5.263576	-15.930999	3000	-1.04904174e-07	481033.06	-0.03315418	-3395.9375	0.008167711	0.0	2.107440710067749
5	-800.5207	105.06658	-434.30865	-886.4	19.0	-17.87186	2.4909027	-7.2131763	-18.470415	3600	1.1960665e-07	488963.53	-0.031584453	-3443.6875	0.009172048	0.0	2.4572298526763916
6	-783.95306	110.29273	-491.76282	-886.4	20.75	-20.465782	2.4345412	-9.664914	-21.020508	4200	1.7722448e-07	470804.75	-0.033793684	-3425.0312	0.008311036	0.0	2.8092472553253174
7	-755.68634	137.59308	-480.63358	-886.4	19.258064	-22.97461	2.5329971	-12.303304	-23.57961	4800	6.11941e-08	389566.22	-0.032504067	-2987.4062	0.0059208223	0.0	3.185728073120117
8	-741.95776	133.06482	-437.7667	-886.4	21.925926	-25.471354	2.2922616	-15.113802	-25.98384	5400	-1.6291937e-08	396266.66	-0.02609151	-3035.4062	0.0071144104	1.0	3.5309505462646484
9	-708.41876	121.95163	-502.1982	-886.4	26.772728	-28.017572	2.022372	-17.888397	-28.42359	6000	-1.3113022e-08	375283.72	-0.02822091	-2936.6875	0.0077076782	0.0	3.8739817142486572
10	-678.3258	115.20927	-503.89963	-886.4	29.6	-30.491022	1.9017485	-20.50536	-30.854675	6600	6.834666e-08	354511.88	-0.04734781	-2836.125	0.009120524	0.0	4.365455627441406
11	-667.84235	146.41447	-368.0486	-886.4	27.904762	-32.88728	1.9148346	-23.072954	-33.26278	7200	2.3285548e-07	332182.0	-0.030393783	-2629.25	0.007244137	1.0	4.726666450500488
12	-698.0366	161.54453	-342.66928	-886.4	23.6	-35.166912	2.0157404	-25.695885	-35.597786	7800	4.2915346e-08	324812.62	-0.036326747	-2617.0	0.008934428	0.0	5.0705413818359375
13	-623.67554	198.09267	-189.89209	-886.4	26.363636	-37.543545	1.8177332	-28.570341	-37.93017	8400	6.834666e-08	260941.95	-0.03390567	-2068.1094	0.008940997	0.0	5.419372797012329
14	-568.7438	199.84857	-285.11795	-886.4	27.047619	-39.710323	1.6818475	-31.089771	-40.03957	9000	-1.66893e-08	201057.48	-0.03436411	-1596.2188	0.008004766	0.0	5.776116371154785
15	-572.41284	252.12845	-226.35881	-886.4	22.346153	-41.535168	1.7830781	-33.321102	-41.923737	9600	-3.973643e-08	161277.61	-0.037643295	-1281.2188	0.008662021	0.0	6.129123210906982
16	-567.45703	225.41605	-217.16399	-886.4	25.956522	-43.301575	1.5830716	-35.546246	-43.626	10200	4.529953e-08	201745.17	-0.02877933	-1669.3594	0.009109466	0.0	6.489789962768555
17	-584.4457	269.64053	-120.60082	-886.4	19.931034	-45.18972	1.6797059	-37.88431	-45.580986	10800	-1.0887782e-07	136238.03	-0.033026733	-1132.1875	0.007973654	0.0	6.850752592086792
18	-480.6973	262.3791	-205.30293	-886.4	23.36	-46.92264	1.4500908	-40.10931	-47.232227	11400	-3.1789145e-09	91637.34	-0.033420477	-813.5469	0.007917906	0.0	7.1897666454315186
19	-539.54205	290.8974	-129.86494	-886.4	20.48276	-48.32212	1.4722582	-41.904728	-48.660515	12000	-8.145968e-08	113597.016	-0.026096834	-935.14844	0.0069459914	0.0	7.6266021728515625
20	-500.89398	265.03296	-170.31566	-886.4	22.884615	-49.907314	1.3080517	-43.881523	-50.192234	12600	2.1457673e-08	97934.8	-0.031308547	-925.0	0.008305081	0.0	8.140350341796875
21	-449.11902	286.57126	-144.0588	-886.4	22.92	-51.496746	1.2175058	-45.776237	-51.756664	13200	-2.4636586e-08	70904.43	-0.029091153	-617.8828	0.007265785	0.0	8.498260259628296
22	-359.382	277.14706	-120.025795	-886.4	24.041666	-52.836056	1.141298	-47.36262	-53.07461	13800	-1.7166138e-07	38284.395	-0.033631466	-349.57422	0.0074720937	0.0	9.019999265670776
23	-357.9313	277.25983	-86.04488	-886.4	24.166666	-53.85674	1.1068443	-48.576553	-54.091537	14400	7.073084e-08	37149.83	-0.030189022	-343.5586	0.006963381	0.0	9.471198320388794
24	-260.13324	157.24158	-132.22127	-886.4	28.85	-54.91421	0.97973853	-49.769783	-55.10121	15000	-1.2079875e-07	34933.05	-0.026826585	-360.67578	0.008928825	0.0	9.817517518997192
25	-225.09756	168.43903	-47.43708	-886.4	28.238094	-55.96966	0.98813075	-50.904842	-56.162952	15600	3.973643e-09	27789.51	-0.03183422	-262.27148	0.008247582	0.0	10.170605421066284
26	-242.42133	204.77834	-62.473732	-886.4	26.636364	-56.898132	0.9981186	-51.898895	-57.097878	16200	-7.5499216e-08	22319.088	-0.026124254	-220.65039	0.008285333	0.0	10.580797910690308
27	-275.8066	279.40582	-56.251503	-886.4	24.166666	-57.753105	1.0214484	-52.854435	-57.966537	16800	5.8412553e-08	18146.838	-0.02827619	-148.3086	0.00845827	0.0	11.233211994171143
28	-152.39488	167.22694	-41.893166	-886.4	26.90909	-58.503178	0.95357686	-53.72709	-58.694286	17400	-9.536743e-09	7265.9673	-0.023970615	-60.231445	0.0077381316	0.0	11.742033004760742
29	-213.83286	296.41455	-26.452307	-886.4	23.48	-58.965195	0.99911916	-54.27315	-59.180183	18000	-2.5431316e-08	7470.975	-0.0284646	-21.532715	0.007273234	0.0	12.127216339111328
30	-187.97517	271.98895	-24.74871	-886.4	24.5	-59.124863	1.12564	-54.679974	-59.457573	18600	8.742014e-09	9758.931	-0.03102307	-24.387695	0.008028921	0.0	12.693392753601074
31	-78.77461	41.260895	-40.9134	-190.61687	27.380953	-59.297707	1.2486942	-55.078953	-59.74831	19200	-1.8676122e-08	2103.7747	-0.030197926	-8.081299	0.008287778	0.0	13.20789647102356
