Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-846.631	58.6273	-653.87494	-922.33215	9.25	0.56742275	0.30699137	1.7434924	-0.09071761	600	-1.7404557e-07	619289.8	-0.026428938	-7903.5625	0.0057542343	0.0	0.8670856952667236
1	-853.1903	51.52232	-682.48517	-898.26074	9.047619	-4.6326213	1.4337215	-0.64831686	-5.9563737	1200	-1.3947486e-07	594540.1	-0.026952155	-5019.6875	0.0075042406	0.0	1.3272733688354492
2	-842.8251	61.809456	-665.8016	-889.7936	8.761194	-7.9943285	2.3027523	-1.5955056	-9.008905	1800	-1.5099843e-08	563039.5	-0.032119267	-3923.125	0.007122205	0.0	1.7991244792938232
3	-827.4796	76.09568	-648.5884	-889.1503	11.153846	-10.842548	2.429682	-3.094863	-11.672276	2400	4.0133795e-08	514819.53	-0.029400123	-3660.0	0.007706999	0.0	2.2591044902801514
4	-818.7161	95.10593	-525.07684	-889.8305	11.423077	-13.469064	2.6811776	-4.863275	-14.322268	3000	-2.1696091e-07	475824.44	-0.0290417	-3478.1875	0.007492521	0.0	2.7030019760131836
5	-836.07666	83.35243	-604.0761	-890.2121	9.274194	-15.872904	3.0374856	-7.0063	-16.921377	3600	-8.980433e-08	478123.4	-0.024534509	-3462.9375	0.007837662	0.0	3.1311819553375244
6	-790.61896	117.91872	-525.7168	-891.22504	14.195122	-18.795723	2.5004451	-9.683124	-19.48722	4200	-6.11941e-08	401209.88	-0.026974373	-3045.125	0.0096927425	0.0	3.5880112648010254
7	-830.16815	86.187256	-608.14124	-890.0506	9.633333	-20.94626	2.9880466	-12.065088	-21.959133	4800	8.662542e-08	458880.47	-0.028113479	-3494.2188	0.007946766	0.0	4.023279666900635
8	-828.32654	94.804344	-587.2965	-890.6526	7.68	-23.34802	3.1379676	-15.116631	-24.552689	5400	3.2583873e-08	405531.2	-0.027402248	-3215.6562	0.008687815	0.0	4.450115919113159
9	-794.43115	133.59784	-363.24036	-890.376	10.545455	-26.204508	2.50178	-18.415567	-27.017004	6000	1.9868216e-08	355579.38	-0.033447955	-2766.4062	0.007480499	0.0	4.853407382965088
10	-739.8438	161.70573	-364.36633	-886.8884	17.617647	-28.899815	1.9155823	-21.205248	-29.379858	6600	8.34465e-08	341066.2	-0.024567021	-2755.0312	0.008123477	0.0	5.4588823318481445
11	-771.59406	171.62259	-232.34447	-890.0266	11.3	-31.085657	2.2739286	-23.653074	-31.793333	7200	1.08281775e-07	299038.78	-0.03326901	-2279.3125	0.008369264	0.0	5.891828775405884
