Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-801.87573	71.72682	-643.8333	-886.03375	13.761905	-1.6270554	0.48922738	0.0	-3.126701	600	-2.4000803e-07	536015.44	-0.028914262	-5874.5	0.0064676977	0.0	0.6897914409637451
1	-807.7999	65.82575	-602.3119	-879.2686	15.945946	-5.823765	1.3337042	-0.785274	-6.492193	1200	-1.8835068e-07	590364.25	-0.031788908	-5801.5	0.0069996053	0.0	1.0560009479522705
2	-794.54114	67.31467	-661.5799	-874.2142	16.555555	-9.689514	2.0100415	-1.8737075	-10.321043	1800	-8.662542e-08	530789.4	-0.035644826	-4365.6875	0.005974725	0.0	1.4328417778015137
3	-772.16986	95.643486	-544.55115	-881.2519	20.241379	-12.808325	2.1686475	-3.407365	-13.3641815	2400	4.9273172e-08	489961.8	-0.021487743	-3567.5625	0.0076646847	0.0	1.8116059303283691
4	-770.9487	82.60129	-628.3735	-874.9752	18.838709	-15.37945	2.4235747	-5.179333	-15.973214	3000	1.4305114e-08	472603.38	-0.037957978	-3453.0938	0.0076284497	0.0	2.1941077709198
5	-772.3667	99.80933	-386.48672	-863.4926	19.655172	-17.954655	2.445158	-7.376696	-18.552557	3600	4.7683717e-08	475549.12	-0.031678136	-3433.0312	0.00792955	0.0	2.571226119995117
6	-771.372	100.51171	-482.8904	-872.93066	18.612904	-20.516573	2.5345898	-9.839368	-21.12348	4200	1.4106432e-07	450702.4	-0.033591945	-3337.7812	0.008682508	0.0	2.943068027496338
7	-724.2365	126.4945	-403.10962	-883.71704	19.689655	-23.112696	2.410457	-12.606768	-23.670088	4800	-8.265177e-08	363251.75	-0.026628066	-2736.9375	0.0069414726	0.0	3.314408779144287
8	-717.978	129.78894	-463.6528	-868.38324	21.333334	-25.503883	2.262714	-15.277116	-26.007162	5400	-4.0928523e-08	361763.7	-0.02689655	-2766.375	0.0077015497	0.0	3.685021162033081
9	-709.41266	121.830986	-497.64093	-872.6569	22.538462	-27.899902	2.1540782	-17.976786	-28.369722	6000	1.4940898e-07	355242.12	-0.03639271	-2838.4062	0.0072663324	0.0	4.059707403182983
10	-682.0969	165.98833	-244.14395	-874.792	21.185184	-30.31433	2.1164532	-20.74847	-30.784094	6600	7.947286e-09	300726.94	-0.031524155	-2357.1562	0.005420579	2.0	4.545666933059692
11	-651.1496	156.33781	-338.89926	-866.2481	25.086956	-32.629383	1.8736781	-23.450512	-33.01373	7200	3.218651e-08	292236.88	-0.036156274	-2345.6875	0.0070623937	0.0	4.924909353256226
12	-666.87244	139.61497	-358.4406	-868.5265	26.363636	-34.901543	1.773311	-26.019804	-35.257328	7800	-1.1722247e-07	316620.0	-0.041933734	-2609.9062	0.008146857	0.0	5.295457124710083
13	-625.92065	202.40192	-191.76257	-867.8522	22.884615	-37.235535	1.8516953	-28.705275	-37.6385	8400	-2.5590262e-07	260186.03	-0.032291643	-2147.0781	0.008568989	0.0	5.633976936340332
14	-606.34204	201.96817	-273.844	-858.6093	22.538462	-39.446865	1.7572204	-31.351812	-39.829144	9000	5.165736e-08	219868.8	-0.026840191	-1839.3906	0.008179331	0.0	5.973200082778931
15	-542.9461	226.22496	-255.89491	-869.9695	23.833334	-41.537643	1.601283	-33.859562	-41.874428	9600	1.2795131e-07	165942.12	-0.034588724	-1348.3594	0.0080455085	0.0	6.347074031829834
16	-612.081	212.47327	-270.1194	-885.20874	21.703703	-43.304096	1.61241	-36.01636	-43.661537	10200	-9.497007e-08	204870.78	-0.023417734	-1762.7344	0.0058384677	2.0	6.699188232421875
17	-578.01807	234.98015	-115.60598	-864.60266	21.296297	-45.357304	1.5159601	-38.505604	-45.69411	10800	-2.5431316e-08	167306.1	-0.03348677	-1431.9375	0.008699314	0.0	7.051015615463257
